throughput,upload_artificial,,
713.04,100,62.7925,5G
775.95,100,62.2745,5G
744.48,100,61.5540,5G
734.01,100,65.2335,5G
754.96,100,70.8920,5G
692.06,100,60.0915,5G
712.82,100,58.0670,5G
660.79,100,55.0630,5G
765.47,100,68.8455,5G
765.46,100,76.3990,5G
681.59,100,62.6420,5G
744.47,100,59.6990,5G
754.98,100,62.3230,5G
765.43,100,59.6765,5G
692.06,100,69.3560,5G
713.04,100,64.3600,5G
960.60,100,72.1430,5G
901.75,100,56.6625,5G
828.42,100,63.3530,5G
870.32,100,57.8880,5G
838.86,100,59.9560,5G
870.32,100,61.1730,5G
849.35,100,64.9580,5G
870.28,100,64.1150,5G
891.28,100,57.0580,5G
870.34,100,61.9070,5G
880.84,100,59.0455,5G
891.28,100,58.3295,5G
859.77,100,57.6085,5G
849.37,100,58.9490,5G
880.83,100,57.5445,5G
891.30,100,59.0390,5G
912.24,100,56.0315,5G
880.79,100,58.7200,5G
901.79,100,57.9030,5G
901.79,100,58.5700,5G
870.32,100,59.7435,5G
901.73,100,59.4320,5G
880.67,100,57.9675,5G
859.96,100,59.1390,5G
891.30,100,58.3820,5G
901.77,100,57.5235,5G
880.85,100,61.8270,5G
838.77,100,59.6200,5G
880.57,100,58.3355,5G
881.10,100,64.6195,5G
901.77,100,59.4735,5G
880.83,100,58.1165,5G
890.89,100,58.0125,5G
891.68,100,58.0410,5G
849.36,100,61.5495,5G
859.53,100,70.0725,5G
860.11,100,67.3190,5G
901.79,100,63.1015,5G
870.25,100,54.9500,5G
891.35,100,55.5455,5G
870.35,100,58.0590,5G
828.75,100,60.4185,5G
922.75,100,56.9855,5G
912.25,100,56.4395,5G
912.27,100,57.1535,5G
912.26,100,56.4320,5G
891.29,100,56.6770,5G
912.24,100,56.7620,5G
912.28,100,55.7355,5G
901.82,100,58.4880,5G
912.22,100,56.6730,5G
912.26,100,55.7140,5G
912.26,100,55.5530,5G
922.74,100,55.8025,5G
933.23,100,57.1010,5G
901.77,100,58.3865,5G
933.24,100,56.4625,5G
912.26,100,57.4860,5G
891.29,100,56.4925,5G
901.74,100,56.0265,5G
891.29,100,55.6565,5G
901.80,100,56.4580,5G
901.79,100,58.0960,5G
901.64,100,56.9910,5G
901.82,100,55.6845,5G
901.85,100,61.4010,5G
901.74,100,55.7760,5G
922.78,100,54.9430,5G
912.26,100,55.1090,5G
943.72,100,53.8900,5G
870.32,100,54.8450,5G
933.19,100,54.2430,5G
922.78,100,57.1945,5G
922.73,100,54.7680,5G
922.74,100,55.9900,5G
922.72,100,56.4625,5G
922.73,100,55.3600,5G
922.82,100,53.7645,5G
933.20,100,54.8245,5G
922.76,100,57.7160,5G
933.21,100,55.5470,5G
891.30,100,55.9940,5G
1113.26,100,61.5415,5G
922.69,100,53.8350,5G
922.78,100,55.0360,5G
943.69,100,55.8340,5G
922.80,100,61.0835,5G
912.22,100,55.8775,5G
943.76,100,53.8440,5G
922.71,100,54.7995,5G
912.29,100,56.1730,5G
912.26,100,56.0770,5G
912.27,100,53.5060,5G
922.70,100,56.5295,5G
922.77,100,58.9705,5G
912.21,100,56.8310,5G
912.31,100,56.8450,5G
922.75,100,56.1750,5G
912.25,100,56.0670,5G
922.75,100,55.7120,5G
922.75,100,56.9225,5G
912.26,100,56.5320,5G
933.23,100,55.8620,5G
922.68,100,55.8630,5G
933.28,100,57.3820,5G
922.74,100,57.9715,5G
922.76,100,57.3520,5G
922.71,100,56.6135,5G
933.25,100,56.1635,5G
933.22,100,56.1040,5G
922.77,100,56.2405,5G
880.80,100,56.4120,5G
933.25,100,55.9840,5G
933.24,100,55.7640,5G
912.23,100,56.0715,5G
943.72,100,61.3365,5G
922.75,100,59.9080,5G
943.72,100,55.3230,5G
933.19,100,56.0695,5G
943.73,100,56.1105,5G
943.71,100,57.0240,5G
912.30,100,56.9430,5G
838.85,100,58.3640,5G
884.36,100,58.3370,5G
922.69,100,55.0835,5G
922.78,100,54.3795,5G
933.01,100,54.9450,5G
923.01,100,56.0060,5G
922.69,100,57.4210,5G
922.80,100,53.7490,5G
901.76,100,56.3660,5G
912.26,100,54.9960,5G
933.22,100,57.8460,5G
922.56,100,54.3900,5G
901.84,100,55.7275,5G
922.85,100,55.1280,5G
922.78,100,54.6605,5G
922.76,100,55.2175,5G
891.24,100,70.4330,5G
870.32,100,55.7060,5G
901.80,100,55.3055,5G
933.21,100,54.4070,5G
922.76,100,53.9795,5G
933.09,100,56.5350,5G
901.92,100,54.8540,5G
922.76,100,55.9780,5G
943.72,100,54.1125,5G
933.24,100,55.0180,5G
943.72,100,54.5485,5G
943.71,100,52.9235,5G
912.25,100,55.1755,5G
933.09,100,54.9770,5G
922.90,100,53.7805,5G
933.21,100,55.5765,5G
933.20,100,53.0660,5G
912.24,100,54.0590,5G
943.79,100,56.0725,5G
933.24,100,54.2605,5G
901.78,100,55.7825,5G
912.25,100,56.8165,5G
912.22,100,53.9360,5G
943.76,100,54.1060,5G
912.12,100,56.5465,5G
922.91,100,57.9890,5G
969.38,100,56.5560,5G
671.12,100,73.6685,5G
784.92,100,60.2125,5G
745.93,100,68.6460,5G
796.93,100,60.0860,5G
744.45,100,59.2865,5G
754.97,100,61.8270,5G
744.52,100,57.4655,5G
775.94,100,75.4490,5G
744.45,100,65.9165,5G
754.97,100,73.0915,5G
744.53,100,62.6380,5G
733.97,100,67.9150,5G
671.09,100,72.0145,5G
650.13,100,66.2305,5G
734.01,100,63.0285,5G
775.95,100,61.2625,5G
733.99,100,64.8940,5G
734.03,100,64.1390,5G
734.00,100,68.5140,5G
734.00,100,59.7580,5G
723.50,100,63.6580,5G
713.02,100,61.6930,5G
807.45,100,61.8820,5G
734.01,100,61.5780,5G
713.00,100,55.2240,5G
775.98,100,60.9110,5G
786.42,100,68.5255,5G
723.52,100,67.6460,5G
524.30,100,58.9465,5G
597.69,100,68.4075,5G
650.08,100,55.1490,5G
692.06,100,64.7370,5G
566.24,100,61.5030,5G
576.73,100,63.1560,5G
618.65,100,60.2340,5G
650.11,100,60.7125,5G
534.77,100,58.2360,5G
346.04,100,62.8825,5G
335.53,100,59.0920,5G
314.57,100,60.2670,5G
316.95,100,60.6185,5G
660.63,100,60.9020,5G
618.67,100,61.0440,5G
608.17,100,82.7720,5G
576.71,100,61.2385,5G
587.19,100,60.1080,5G
639.65,100,59.5250,5G
618.66,100,63.0545,5G
639.63,100,59.7930,5G
660.62,100,71.3205,5G
702.55,100,60.9575,5G
702.59,100,62.5430,5G
723.47,100,64.5475,5G
681.56,100,60.8290,5G
671.06,100,68.7435,5G
723.51,100,63.5060,5G
775.98,100,61.3800,5G
796.54,100,61.5980,5G
660.90,100,68.7675,5G
608.18,100,64.1560,5G
660.58,100,66.7865,5G
776.00,100,57.9400,5G
660.61,100,59.6610,5G
692.06,100,60.1365,5G
660.57,100,60.9400,5G
702.55,100,64.7490,5G
639.65,100,61.7570,5G
702.36,100,70.9030,5G
671.26,100,67.5900,5G
723.51,100,61.9415,5G
744.49,100,65.5305,5G
734.02,100,66.2585,5G
671.06,100,62.9270,5G
744.21,100,59.2530,5G
713.32,100,60.4035,5G
692.04,100,66.2905,5G
723.56,100,59.7200,5G
733.97,100,65.8310,5G
702.48,100,62.7795,5G
608.26,100,61.8940,5G
608.13,100,64.3250,5G
736.55,100,66.4570,5G
713.04,100,60.1890,5G
618.61,100,65.1265,5G
597.71,100,61.2605,5G
671.06,100,63.2545,5G
671.08,100,61.1800,5G
629.15,100,67.5420,5G
650.11,100,66.6645,5G
723.54,100,61.6090,5G
660.51,100,84.0450,5G
503.37,100,65.3270,5G
608.18,100,76.4515,5G
713.04,100,64.1770,5G
671.10,100,59.1145,5G
629.17,100,59.9110,5G
534.76,100,60.3270,5G
545.27,100,62.1150,5G
639.61,100,58.0300,5G
671.10,100,64.4760,5G
723.52,100,59.1875,5G
629.12,100,62.7310,5G
618.65,100,60.1225,5G
660.62,100,64.1440,5G
650.15,100,61.0000,5G
650.10,100,67.5185,5G
534.77,100,68.5015,5G
618.68,100,62.9335,5G
629.12,100,62.4885,5G
723.52,100,63.5520,5G
681.63,100,60.9845,5G
650.06,100,62.2210,5G
671.12,100,63.0915,5G
681.54,100,59.5245,5G
597.70,100,59.0625,5G
587.20,100,71.5735,5G
618.67,100,58.7730,5G
639.64,100,67.2675,5G
608.18,100,63.1230,5G
702.51,100,65.2175,5G
566.24,100,66.4230,5G
671.08,100,67.1725,5G
715.02,100,65.1440,5G
1100.96,100,79.6690,5G
1027.65,100,86.6335,5G
1069.53,100,84.4210,5G
1059.09,100,85.5525,5G
985.65,100,75.1290,5G
975.06,100,85.0410,5G
996.28,100,94.2630,5G
943.66,100,78.3355,5G
933.21,100,68.9550,5G
954.25,100,85.1928,5G
985.71,100,84.4310,5G
922.69,100,88.8760,5G
964.78,100,64.7933,5G
859.76,100,60.1810,5G
723.50,100,57.5085,5G
870.32,100,62.6940,5G
901.79,100,67.5853,5G
880.81,100,59.7260,5G
901.77,100,57.1998,5G
891.24,100,58.8383,5G
817.93,100,62.0815,5G
838.82,100,58.7000,5G
912.31,100,70.5880,5G
807.39,100,62.5070,5G
838.88,100,67.9825,5G
859.83,100,57.7153,5G
901.77,100,57.3275,5G
796.93,100,63.8898,5G
922.75,100,56.1028,5G
870.29,100,64.5095,5G
744.35,100,61.6553,5G
797.08,100,64.7283,5G
786.39,100,64.2120,5G
734.05,100,62.3110,5G
859.79,100,66.3500,5G
618.67,100,58.3445,5G
733.99,100,72.9938,5G
618.51,100,58.4130,5G
723.71,100,58.0453,5G
786.43,100,63.5183,5G
758.79,100,60.9403,5G
1730.17,100,57.0973,5G
1698.64,100,60.0930,5G
1688.24,100,55.6633,5G
1698.69,100,56.6985,5G
1709.18,100,58.0500,5G
1730.02,100,58.6168,5G
1761.73,100,61.3790,5G
1709.20,100,57.5505,5G
1656.73,100,62.3733,5G
1625.31,100,59.5415,5G
1614.78,100,57.8728,5G
1656.37,100,66.8788,5G
1709.67,100,61.7265,5G
1625.20,100,66.0925,5G
1709.22,100,61.3528,5G
1677.71,100,62.3473,5G
1709.10,100,62.2225,5G
1688.28,100,59.7535,5G
1730.08,100,60.1958,5G
1698.70,100,63.1190,5G
1719.80,100,61.3768,5G
1750.94,100,57.9848,5G
1656.72,100,57.0775,5G
1772.17,100,57.5348,5G
1740.66,100,57.6283,5G
1646.29,100,60.9165,5G
1583.26,100,59.0228,5G
1667.33,100,65.3063,5G
1677.71,100,60.4850,5G
1656.74,100,63.0508,5G
1457.52,100,63.0538,5G
1667.20,100,61.8460,5G
1646.32,100,56.0323,5G
1614.78,100,58.6793,5G
1436.57,100,79.6020,5G
1551.93,100,65.1613,5G
1625.21,100,55.9353,5G
1635.79,100,62.1978,5G
1667.28,100,66.5223,5G
1593.86,100,61.4005,5G
1759.49,100,59.2405,5G
1499.67,100,99.9533,5G
1540.74,100,61.9608,5G
1458.18,100,66.6575,5G
1226.79,100,81.4153,5G
1488.34,100,68.3460,5G
1395.11,100,61.5128,5G
1373.72,100,66.8358,5G
1415.48,100,64.1368,5G
1426.14,100,63.5615,5G
1488.88,100,83.9138,5G
1488.68,100,58.9590,5G
1552.26,100,62.8988,5G
1688.15,100,66.0510,5G
1646.40,100,62.7835,5G
1646.29,100,67.6593,5G
1740.67,100,60.4108,5G
1488.90,100,74.5395,5G
1583.25,100,57.1865,5G
1688.33,100,56.6223,5G
1709.15,100,59.4785,5G
1740.72,100,59.9013,5G
1624.76,100,69.2168,5G
1615.34,100,61.7863,5G
1709.18,100,57.6613,5G
1625.23,100,62.8305,5G
1614.84,100,65.3618,5G
1656.69,100,65.0558,5G
1583.43,100,57.6305,5G
1478.06,100,81.6328,5G
1436.94,100,64.9248,5G
1677.71,100,66.6185,5G
1719.72,100,57.5953,5G
1646.26,100,64.7095,5G
1677.73,100,61.0265,5G
1478.38,100,68.7718,5G
1625.39,100,66.3015,5G
1625.25,100,65.6573,5G
1677.79,100,59.5528,5G
1719.72,100,56.1263,5G
1719.63,100,62.1070,5G
1748.45,100,64.1005,5G
1593.86,100,68.6938,5G
1551.80,100,75.7918,5G
1551.41,100,75.1760,5G
1499.78,100,66.0190,5G
1625.52,100,61.9503,5G
1625.29,100,56.8710,5G
1740.67,100,58.8175,5G
1751.12,100,57.4723,5G
1740.58,100,59.4365,5G
1667.24,100,62.6743,5G
1761.65,100,55.7593,5G
1656.81,100,63.6055,5G
1425.96,100,74.4433,5G
1436.60,100,56.2460,5G
1352.67,100,69.9160,5G
1331.61,100,73.8505,5G
1467.98,100,73.7538,5G
1405.04,100,75.3940,5G
1426.25,100,68.1758,5G
1541.38,100,65.1985,5G
1551.87,100,68.7650,5G
1729.56,100,55.3878,5G
1814.58,100,60.5380,5G
1772.13,100,55.7588,5G
1780.38,100,56.4355,5G
1774.27,100,54.8475,5G
1751.18,100,56.4168,5G
1793.02,100,57.9025,5G
1447.04,100,74.4400,5G
1468.03,100,60.8265,5G
1793.09,100,60.6783,5G
1772.09,100,60.4910,5G
1751.05,100,56.8463,5G
1719.74,100,60.0178,5G
1667.16,100,58.3788,5G
1688.19,100,61.8690,5G
1635.87,100,57.6403,5G
1729.96,100,56.7118,5G
1772.32,100,56.8695,5G
1782.43,100,57.3113,5G
1789.85,100,57.5300,5G
1751.28,100,58.5128,5G
1709.00,100,59.0128,5G
1604.48,100,64.1400,5G
1572.87,100,63.7900,5G
1646.25,100,58.6220,5G
1740.31,100,59.1998,5G
1730.27,100,57.8230,5G
1793.30,100,56.0830,5G
1677.61,100,60.1198,5G
1677.80,100,61.9603,5G
1698.72,100,58.1480,5G
1719.65,100,58.7653,5G
1761.59,100,60.0065,5G
1730.17,100,63.1965,5G
1677.66,100,75.2258,5G
1677.78,100,59.3260,5G
1646.24,100,88.3258,5G
1541.47,100,56.6128,5G
1562.34,100,56.7230,5G
1551.88,100,68.0543,5G
1604.30,100,56.0430,5G
1751.15,100,57.8390,5G
1730.14,100,68.6333,5G
1447.05,100,66.2365,5G
1447.03,100,57.2650,5G
1488.94,100,69.8803,5G
1499.48,100,66.4728,5G
1730.19,100,59.0370,5G
1562.35,100,68.3988,5G
1562.38,100,60.9788,5G
1550.46,100,68.7805,5G
1637.36,100,67.0128,5G
1530.88,100,64.4388,5G
1509.94,100,68.3213,5G
1572.87,100,76.6595,5G
1625.29,100,65.1443,5G
1667.17,100,55.8925,5G
1635.82,100,57.4803,5G
1625.20,100,63.0573,5G
1761.73,100,57.2918,5G
1663.68,100,57.6595,5G
943.60,100,77.1648,5G
1080.08,100,85.5548,5G
943.75,100,90.1505,5G
1006.58,100,90.9118,5G
922.84,100,93.9348,5G
912.22,100,98.3225,5G
901.74,100,102.4785,5G
933.27,100,90.9345,5G
891.32,100,85.7560,5G
975.18,100,87.1368,5G
1069.54,100,63.8998,5G
1142.96,100,64.1158,5G
1069.54,100,87.3843,5G
1090.51,100,72.3873,5G
1090.53,100,64.0498,5G
1080.04,100,55.3935,5G
1111.49,100,67.1020,5G
1038.06,100,76.1018,5G
1048.60,100,56.5538,5G
891.30,100,62.9063,5G
859.83,100,58.0883,5G
880.80,100,61.4078,5G
849.34,100,80.9758,5G
912.28,100,64.7948,5G
880.76,100,71.3128,5G
849.39,100,64.0590,5G
744.46,100,61.1365,5G
901.72,100,62.4298,5G
880.80,100,63.7613,5G
765.51,100,58.5088,5G
681.58,100,57.3555,5G
734.03,100,62.9425,5G
765.46,100,64.7523,5G
786.39,100,56.8055,5G
786.42,100,58.7353,5G
817.92,100,62.2750,5G
681.57,100,58.7813,5G
702.54,100,62.9328,5G
650.10,100,72.0255,5G
692.08,100,61.1653,5G
715.28,100,61.3353,5G
587.23,100,69.5480,5G
618.63,100,65.5458,5G
618.65,100,68.7050,5G
744.52,100,72.2905,5G
597.70,100,68.6413,5G
681.54,100,57.0930,5G
755.02,100,54.1720,5G
692.01,100,57.6528,5G
786.45,100,61.7530,5G
